ticker,name,buy_date,sell_date,hold_days,quantity,buy_price,sell_price,net_pnl,gross_return,buy_conclusion_label,buy_watching_action,buy_holding_action,buy_structure_score,buy_trigger_score,buy_trigger_state,buy_opportunity_type,buy_risk_score,buy_p_continue_10d,buy_p_fail_5d,buy_p_acceptance_1d,buy_p_fail_fast_3d,buy_breakout_quality,buy_volume_state,buy_volume_pattern,buy_position_state,buy_trend_truth_score,buy_readiness_score,buy_relative_strength_label,buy_rank_score,buy_target_weight,sell_conclusion_label,sell_watching_action,sell_holding_action,sell_structure_score,sell_trigger_score,sell_trigger_state,sell_opportunity_type,sell_risk_score,sell_p_continue_10d,sell_p_fail_5d,sell_p_acceptance_1d,sell_p_fail_fast_3d,sell_breakout_quality,sell_volume_state,sell_volume_pattern,sell_position_state,sell_trend_truth_score,sell_readiness_score,sell_relative_strength_label,sell_rank_score,sell_target_weight,is_loss,buy_full_positive,buy_strong_positive,sell_still_positive,sell_became_defensive,new_trigger_filter,mismatch_type
002195.SZ,岩山科技,2025-03-07,2025-03-10,3,700,6.44,6.34,-70.0,-0.0155,momentum_but_heavy_overhead,avoid_chasing,scale_out_into_strength,100,100,watch,observe,63,0.0405,0.1045,0.0177,0.1559,suspicious,expand,neutral,rising,87.28368600966866,70.68709562792867,显著强于基准,31.696,0.0,confirmation_needed,wait_for_confirmation,trim_on_failed_confirmation,100,100,watch,observe,61,0.1509,0.4931,0.3475,0.2709,suspicious,expand,neutral,rising,96.43497246172261,69.47793030596951,显著强于基准,37.836,0.0,True,False,False,True,False,True,other
300765.SZ,新诺威,2025-03-07,2025-03-11,4,100,38.78,37.35,-143.0,-0.0369,defense_first,stand_aside,exit_on_invalidation,100,100,watch,observe,75,0.0133,0.9806,0.0073,0.9652,suspicious,contract,neutral,high_zone,100.0,67.28451879457799,显著强于基准,-31.582,0.0,confirmation_needed,wait_for_confirmation,trim_on_failed_confirmation,100,100,watch,observe,63,0.6871,0.5577,0.6163,0.1407,valid,neutral,neutral,rising,100.0,68.79294952506979,略强于基准,97.268,0.0,True,False,False,True,False,True,other
000807.SZ,云铝股份,2025-03-07,2025-03-11,4,200,18.58,17.99,-118.0,-0.0318,momentum_but_heavy_overhead,avoid_chasing,scale_out_into_strength,100,100,watch,observe,59,0.0459,0.0208,0.0305,0.1462,suspicious,neutral,gentle_expand,high_zone,79.14317193775321,61.208488185589204,显著强于基准,36.818,0.0,defense_first,stand_aside,exit_on_invalidation,94,89,watch,reject,65,0.3519,0.0033,0.6287,0.0615,invalid,contract,neutral,rising,77.51397287862777,59.28859627719072,略强于基准,57.75,0.0,True,False,False,False,True,True,other
300432.SZ,富临精工,2025-03-11,2025-03-12,1,100,23.84,23.38,-46.0,-0.0193,defense_first,stand_aside,exit_on_invalidation,100,100,watch,observe,75,0.0278,0.8584,0.0186,0.871,suspicious,expand,gentle_expand,rising,85.72539644280343,65.80214945188,显著强于基准,-24.48,0.0,defense_first,stand_aside,exit_on_invalidation,100,99,watch,observe,75,0.0154,0.6413,0.0918,0.9055,suspicious,neutral,neutral,rising,88.51665498188085,62.8806857356889,显著强于基准,-28.34,0.0,True,False,False,False,True,True,other
603799.SH,华友钴业,2025-03-11,2025-03-13,2,100,38.64,38.92,28.0,0.0072,defense_first,stand_aside,exit_on_invalidation,100,100,watch,observe,57,0.0034,0.961,0.0207,0.1426,valid,neutral,gentle_expand,high_zone,90.17522836575654,66.83591794702258,显著强于基准,34.784,0.0,defense_first,stand_aside,exit_on_invalidation,100,100,watch,observe,58,0.0076,0.8476,0.0332,0.4617,valid,neutral,gentle_expand,high_zone,93.40322638269913,66.04302454147347,显著强于基准,15.058,0.0,False,False,False,False,True,True,other
002155.SZ,湖南黄金,2025-03-12,2025-03-14,2,100,24.03,23.66,-37.0,-0.0154,momentum_but_heavy_overhead,avoid_chasing,scale_out_into_strength,100,100,watch,observe,69,0.026,0.0603,0.1075,0.1019,suspicious,neutral,gentle_expand,high_zone,100.0,68.81177233891916,显著强于基准,27.486,0.0,momentum_but_heavy_overhead,avoid_chasing,scale_out_into_strength,100,100,watch,observe,70,0.0405,0.2451,0.2022,0.1528,suspicious,neutral,neutral,rising,100.0,68.78297052351559,显著强于基准,24.882,0.0,True,False,False,False,False,True,other
600031.SH,三一重工,2025-03-07,2025-03-14,7,200,19.89,20.43,108.0,0.0271,momentum_but_heavy_overhead,avoid_chasing,scale_out_into_strength,98,100,watch,observe,62,0.0328,0.0421,0.8768,0.0299,suspicious,contract,neutral,high_zone,74.05134367276477,60.024766336773745,显著强于基准,38.586,0.0,momentum_but_heavy_overhead,avoid_chasing,scale_out_into_strength,100,100,watch,observe,58,0.416,0.1699,0.8943,0.0524,valid,neutral,gentle_expand,high_zone,79.69010111952782,63.452823536102315,略强于基准,80.456,0.0,False,False,False,False,False,True,other
603568.SH,伟明环保,2025-03-18,2025-03-20,2,200,22.69,21.77,-184.0,-0.0405,defense_first,stand_aside,exit_on_invalidation,100,58,exhausted,reject,55,0.1177,0.8538,0.1097,0.7904,valid,expand,distribution,high_zone,37.7978453766448,31.047327128089698,显著强于基准,-13.754,0.0,momentum_but_heavy_overhead,avoid_chasing,scale_out_into_strength,100,96,watch,observe,56,0.4004,0.0239,0.9506,0.1176,suspicious,contract,neutral,rising,79.23117370362088,58.48280843472962,显著强于基准,74.784,0.0,True,False,False,False,False,True,other
000408.SZ,藏格矿业,2025-03-17,2025-03-20,3,100,36.8,36.77,-3.0,-0.0008,momentum_but_heavy_overhead,avoid_chasing,scale_out_into_strength,100,96,watch,observe,59,0.0714,0.048,0.8856,0.0573,suspicious,contract,neutral,high_zone,77.5203334424798,58.31016632651893,显著强于基准,42.502,0.0,momentum_but_heavy_overhead,avoid_chasing,scale_out_into_strength,100,75,watch,observe,60,0.5953,0.0302,0.821,0.0669,suspicious,neutral,neutral,high_zone,70.65964809356812,52.88564234652121,与基准大体同步,81.766,0.0,True,False,False,False,False,True,other
600547.SH,山东黄金,2025-03-20,2025-03-24,4,100,27.21,26.1,-111.0,-0.0408,defense_first,stand_aside,exit_on_invalidation,100,94,watch,observe,54,0.019,0.8617,0.025,0.9215,suspicious,contract,neutral,high_zone,72.86721598351251,56.74074878312041,略强于基准,-10.69,0.0,defense_first,stand_aside,exit_on_invalidation,86,86,watch,reject,65,0.3242,0.1218,0.3834,0.5967,invalid,contract,neutral,rising,73.5534447370143,56.96799678155777,略强于基准,17.618,0.0,True,False,False,False,True,True,other
