排名,股票代码,股票名称,行业,市场板块,收盘价,结论标签,动作标签,趋势阶段,执行分,仓位,机会类型,入场分区,入场概率,次日承接,快速失败,Early分,Mid分,Late分,市场分,板块分,基本面分,结构分,10日延续概率,突破成功率,10日预期收益,风险分,模型风险
78,601636.SH,旗滨集团,玻璃,主板,5.93,defense_first,stand_aside,transition,21.69,0%,reject,candidate,59.20%,64.98%,16.75%,48.7,83.8,24.5,0.0,68.2,54.7,8,43.72%,44.71%,1.83%,59,0.64
79,002183.SZ,怡亚通,仓储物流,主板,5.73,confirmation_needed,stand_aside,mid,21.66,0%,observe,ready,81.40%,65.45%,19.61%,67.9,79.6,28.4,0.0,44.9,57.1,100,65.09%,52.13%,3.93%,60,0.66
80,300450.SZ,先导智能,专用机械,创业板,53.21,confirmation_needed,stand_aside,transition,21.65,0%,first_buy,candidate,66.80%,73.38%,13.66%,50.6,51.7,20.4,0.0,63.2,58.5,66,40.44%,54.67%,2.40%,62,0.62
81,600176.SH,中国巨石,玻璃,主板,32.11,confirmation_needed,stand_aside,mid,21.61,0%,observe,ready,75.20%,75.78%,8.67%,22.5,75.5,59.0,0.0,68.2,58.5,100,60.68%,68.51%,4.81%,68,0.62
82,300834.SZ,星辉环材,化工原料,创业板,40.36,confirmation_needed,stand_aside,mid,21.60,0%,observe,candidate,68.40%,69.06%,17.76%,55.8,76.6,23.4,0.0,55.5,54.5,100,82.70%,71.33%,6.44%,74,0.78
83,301053.SZ,远信工业,专用机械,创业板,55.05,confirmation_needed,stand_aside,mid,21.56,0%,observe,candidate,68.60%,69.23%,20.06%,33.6,89.9,29.0,0.0,63.2,53.4,100,65.03%,58.00%,4.37%,61,0.70
84,688210.SH,统联精密,元器件,科创板,47.01,confirmation_needed,stand_aside,mid,21.53,0%,first_buy,candidate,66.80%,61.02%,17.26%,59.8,64.2,24.2,0.0,67.6,56.9,57,52.18%,70.33%,3.63%,72,0.56
85,300006.SZ,莱美药业,化学制药,创业板,5.99,confirmation_needed,stand_aside,mid,21.47,0%,observe,candidate,67.60%,67.65%,19.08%,55.0,84.8,26.3,0.0,52.2,56.7,100,81.08%,71.33%,6.26%,69,0.75
86,301308.SZ,江波龙,半导体,创业板,354.50,confirmation_needed,stand_aside,mid,21.44,0%,observe,candidate,69.00%,68.67%,18.30%,44.8,80.9,16.4,0.0,69.4,53.9,100,50.61%,51.67%,2.88%,62,0.78
87,603985.SH,恒润股份,电气设备,主板,21.69,confirmation_needed,stand_aside,mid,21.42,0%,observe,ready,75.20%,75.01%,9.69%,23.4,83.4,55.7,0.0,54.8,55.4,100,65.05%,65.05%,4.96%,71,0.64
88,002638.SZ,勤上股份,家用电器,主板,4.51,momentum_but_heavy_overhead,stand_aside,mid,21.40,0%,observe,ready,77.60%,63.08%,16.53%,64.8,80.8,17.5,0.0,44.7,55.9,84,31.59%,54.00%,1.25%,70,0.82
89,301216.SZ,万凯新材,化工原料,创业板,29.05,confirmation_needed,stand_aside,mid,21.40,0%,observe,ready,86.00%,64.05%,21.12%,35.0,77.6,31.8,0.0,55.5,58.7,100,57.12%,59.00%,3.58%,66,0.71
90,688192.SH,迪哲医药-U,生物制药,科创板,57.16,confirmation_needed,stand_aside,mid,21.36,0%,observe,ready,80.20%,62.67%,21.89%,19.9,73.9,38.6,0.0,59.0,56.5,99,75.91%,72.33%,5.70%,64,0.72
91,300916.SZ,朗特智能,元器件,创业板,31.52,confirmation_needed,stand_aside,early,21.32,0%,first_buy,candidate,68.40%,62.95%,20.40%,63.0,57.9,24.6,0.0,67.6,60.9,66,41.53%,56.67%,2.17%,61,0.66
92,601231.SH,环旭电子,元器件,主板,37.38,confirmation_needed,stand_aside,transition,21.28,0%,first_buy,candidate,67.80%,64.03%,20.08%,43.7,57.0,22.5,0.0,67.6,51.8,54,56.05%,76.33%,4.36%,64,0.67
93,688019.SH,安集科技,半导体,科创板,255.28,confirmation_needed,stand_aside,mid,21.23,0%,observe,ready,80.60%,62.61%,19.70%,34.2,63.0,20.9,0.0,69.4,54.9,91,74.10%,57.43%,4.80%,58,0.73
94,601727.SH,上海电气,电气设备,主板,8.00,defense_first,stand_aside,transition,21.18,0%,first_buy,ready,71.00%,66.42%,16.96%,47.3,70.8,27.7,0.0,54.8,53.1,35,67.50%,31.44%,3.13%,65,0.71
95,600648.SH,外高桥,园区开发,主板,10.51,defense_first,stand_aside,mid,21.17,0%,first_buy,candidate,56.60%,61.56%,13.65%,73.5,85.3,26.8,0.0,50.4,62.0,40,25.24%,39.00%,-0.07%,61,0.63
96,301486.SZ,致尚科技,元器件,创业板,174.28,confirmation_needed,stand_aside,mid,21.15,0%,observe,candidate,67.60%,74.84%,11.82%,61.2,84.1,24.3,0.0,67.6,51.4,77,42.97%,48.33%,2.35%,65,0.78
97,688253.SH,英诺特,医疗保健,科创板,36.70,momentum_but_heavy_overhead,stand_aside,transition,21.12,0%,first_buy,watch,53.80%,66.48%,19.09%,48.3,63.4,24.4,0.0,45.1,54.7,35,45.02%,39.33%,1.73%,55,0.77
98,601579.SH,会稽山,红黄酒,主板,18.65,defense_first,stand_aside,early,21.09,0%,first_buy,candidate,65.20%,65.14%,15.93%,72.9,69.4,24.0,0.0,48.1,59.6,60,62.75%,58.67%,4.06%,79,0.75
99,002201.SZ,九鼎新材,玻璃,主板,12.20,confirmation_needed,stand_aside,mid,21.09,0%,first_buy,candidate,63.00%,76.33%,8.21%,48.0,70.6,28.5,0.0,68.2,53.4,64,40.98%,57.00%,2.68%,64,0.60
100,000882.SZ,华联股份,其他商业,主板,1.68,defense_first,stand_aside,transition,21.07,0%,reject,ready,71.00%,65.82%,14.29%,51.9,55.2,23.8,0.0,46.0,53.1,30,57.21%,47.46%,3.08%,61,0.64
