ticker,name,buy_date,sell_date,hold_days,quantity,buy_price,sell_price,net_pnl,gross_return,buy_conclusion_label,buy_watching_action,buy_holding_action,buy_structure_score,buy_risk_score,buy_p_continue_10d,buy_p_fail_5d,buy_breakout_quality,buy_volume_state,buy_relative_strength_label,buy_rank_score,buy_target_weight,sell_conclusion_label,sell_watching_action,sell_holding_action,sell_structure_score,sell_risk_score,sell_p_continue_10d,sell_p_fail_5d,sell_breakout_quality,sell_volume_state,sell_relative_strength_label,sell_rank_score,sell_target_weight,is_loss,buy_full_positive,buy_strong_positive,sell_still_positive,sell_became_defensive,mismatch_type
002064.SZ,华峰化学,2025-12-22,2025-12-24,2,300,10.54,10.55,3.0,0.0009,confirmation_needed,wait_for_confirmation,trim_on_failed_confirmation,100,62,0.558,0.2591,suspicious,neutral,显著强于基准,93.8,0.0,confirmation_needed,wait_for_confirmation,trim_on_failed_confirmation,100,62,0.5762,0.255,suspicious,contract,显著强于基准,95.62,0.0,False,True,False,True,False,other
000657.SZ,中钨高新,2025-12-23,2025-12-24,1,100,31.0,29.32,-168.0,-0.0542,high_quality_continuation,buy_on_pullback,hold_above_support,100,68,0.806,0.2589,valid,neutral,显著强于基准,112.6,0.0,high_quality_continuation,buy_on_pullback,hold_above_support,100,70,0.7724,0.277,valid,neutral,略强于基准,107.24,0.0,True,True,True,True,False,system_stayed_positive_but_loss
600711.SH,盛屯矿业,2025-12-24,2025-12-25,1,200,14.54,14.25,-58.0,-0.0199,defense_first,stand_aside,exit_on_invalidation,100,69,0.4893,0.3984,suspicious,expand,显著强于基准,79.93,0.0,defense_first,stand_aside,exit_on_invalidation,99,68,0.473,0.3972,invalid,contract,显著强于基准,78.3,0.0,True,False,False,False,True,other
600487.SH,亨通光电,2025-12-23,2025-12-26,3,100,26.17,25.38,-79.0,-0.0302,confirmation_needed,wait_for_confirmation,trim_on_failed_confirmation,100,72,0.5476,0.3021,suspicious,neutral,显著强于基准,82.76,0.0,defense_first,stand_aside,exit_on_invalidation,100,75,0.5368,0.3073,invalid,contract,显著强于基准,78.68,0.0,True,True,False,False,True,buy_looked_good_then_broke
002202.SZ,金风科技,2025-12-30,2025-12-31,1,100,19.63,20.29,66.0,0.0336,defense_first,stand_aside,exit_on_invalidation,100,77,0.525,0.3239,suspicious,expand,显著强于基准,75.5,0.0,defense_first,stand_aside,exit_on_invalidation,100,77,0.5348,0.3231,invalid,neutral,显著强于基准,76.48,0.0,False,False,False,False,True,other
002465.SZ,海格通信,2025-12-30,2025-12-31,1,200,15.13,15.75,124.0,0.041,confirmation_needed,wait_for_confirmation,trim_on_failed_confirmation,100,59,0.592,0.1601,valid,expand,显著强于基准,100.2,0.0,confirmation_needed,wait_for_confirmation,trim_on_failed_confirmation,100,59,0.606,0.1553,valid,expand,显著强于基准,101.6,0.0,False,True,False,True,False,other
000959.SZ,首钢股份,2025-12-25,2026-01-06,12,700,4.9,4.91,7.0,0.002,defense_first,stand_aside,exit_on_invalidation,100,65,0.5038,0.3036,suspicious,contract,显著强于基准,85.38,0.0,high_quality_continuation,buy_on_pullback,hold_above_support,100,59,0.7418,0.3238,valid,neutral,与基准大体同步,115.18,0.2,False,False,False,True,False,other
000703.SZ,恒逸石化,2025-12-26,2026-01-06,11,300,9.95,10.7,225.0,0.0754,confirmation_needed,wait_for_confirmation,trim_on_failed_confirmation,100,64,0.6506,0.202,suspicious,contract,显著强于基准,101.06,0.0,high_quality_continuation,buy_on_pullback,hold_above_support,100,64,0.6768,0.1923,suspicious,neutral,显著强于基准,103.68,0.2,False,True,False,True,False,other
600498.SH,烽火通信,2026-01-06,2026-01-07,1,100,34.96,36.8,184.0,0.0526,high_quality_continuation,buy_on_pullback,hold_above_support,100,63,0.9386,0.2116,valid,expand,显著强于基准,130.86,0.2,high_quality_continuation,buy_on_pullback,hold_above_support,100,63,0.9391,0.207,valid,expand,显著强于基准,130.91,0.2,False,True,True,True,False,other
002340.SZ,格林美,2026-01-08,2026-01-09,1,400,8.78,8.75,-12.0,-0.0034,confirmation_needed,wait_for_confirmation,trim_on_failed_confirmation,95,69,0.564,0.3076,suspicious,expand,显著强于基准,82.4,0.0,defense_first,stand_aside,exit_on_invalidation,90,69,0.557,0.3093,invalid,contract,略强于基准,76.7,0.0,True,True,False,False,True,buy_looked_good_then_broke
002532.SZ,天山铝业,2025-12-31,2026-01-09,9,200,16.19,18.07,376.0,0.1161,defense_first,stand_aside,exit_on_invalidation,100,60,0.5876,0.2921,suspicious,neutral,显著强于基准,98.76,0.0,high_quality_continuation,buy_on_pullback,hold_above_support,100,65,0.6353,0.2555,suspicious,neutral,显著强于基准,98.53,0.2,False,False,False,True,False,other
000768.SZ,中航西飞,2026-01-09,2026-01-14,5,100,30.0,28.01,-199.0,-0.0663,high_quality_continuation,buy_on_pullback,hold_above_support,100,57,0.9632,0.145,valid,neutral,显著强于基准,139.32,0.2,high_quality_continuation,buy_on_pullback,hold_above_support,100,61,0.8849,0.1675,suspicious,contract,略强于基准,127.49,0.2,True,True,True,True,False,system_stayed_positive_but_loss
601611.SH,中国核建,2026-01-09,2026-01-14,5,200,18.22,17.93,-58.0,-0.0159,defense_first,stand_aside,exit_on_invalidation,100,75,0.4492,0.3194,suspicious,expand,显著强于基准,69.92,0.0,defense_first,stand_aside,exit_on_invalidation,100,81,0.4397,0.3219,invalid,neutral,显著强于基准,62.97,0.0,True,False,False,False,True,other
600879.SH,航天电子,2026-01-13,2026-01-14,1,100,28.43,29.46,103.0,0.0362,confirmation_needed,wait_for_confirmation,trim_on_failed_confirmation,100,79,0.6178,0.3581,suspicious,expand,显著强于基准,82.78,0.0,confirmation_needed,wait_for_confirmation,trim_on_failed_confirmation,100,79,0.6203,0.3541,valid,expand,显著强于基准,83.03,0.0,False,True,False,True,False,other
601872.SH,招商轮船,2026-01-14,2026-01-15,1,300,11.2,11.37,51.0,0.0152,high_quality_continuation,buy_on_pullback,hold_above_support,100,71,0.6422,0.3072,suspicious,contract,显著强于基准,93.22,0.0,confirmation_needed,wait_for_confirmation,trim_on_failed_confirmation,100,70,0.6574,0.3111,suspicious,contract,显著强于基准,95.74,0.0,False,True,True,True,False,other
