排名,股票代码,股票名称,行业,市场板块,收盘价,结论标签,机会类型,入场分区,入场概率,次日承接,快速失败,结构分,10日延续概率,突破成功率,10日预期收益,风险分,模型风险
66,601127.SH,赛力斯,汽车整车,主板,90.83,confirmation_needed,observe,candidate,69.24%,64.42%,19.31%,0,64.46%,0.06%,12.64%,83,0.43
67,002379.SZ,宏桥控股,铝,主板,27.08,confirmation_needed,observe,candidate,69.13%,63.88%,25.69%,16,77.11%,0.03%,9.39%,86,0.36
68,301633.SZ,港迪技术,专用机械,创业板,61.30,confirmation_needed,observe,candidate,68.63%,79.37%,19.33%,19,59.30%,0.06%,9.54%,89,0.34
69,920101.BJ,志高机械,专用机械,北交所,34.40,confirmation_needed,observe,candidate,68.51%,65.11%,16.29%,0,57.15%,0.14%,10.24%,74,0.28
70,600724.SH,宁波富达,综合类,主板,6.05,confirmation_needed,observe,candidate,68.35%,39.69%,23.40%,20,61.20%,0.28%,4.23%,81,0.39
71,301132.SZ,满坤科技,元器件,创业板,38.00,confirmation_needed,observe,candidate,67.43%,37.77%,26.82%,31,54.22%,0.05%,11.24%,78,0.48
72,000893.SZ,亚钾国际,农药化肥,主板,61.10,confirmation_needed,observe,candidate,67.37%,23.63%,40.79%,73,73.88%,0.26%,10.68%,62,0.46
73,600801.SH,华新建材,水泥,主板,21.20,confirmation_needed,observe,candidate,67.33%,17.24%,14.76%,21,60.71%,0.04%,-1.37%,71,0.40
74,688107.SH,安路科技,半导体,科创板,30.00,confirmation_needed,first_buy,candidate,67.26%,70.61%,10.68%,43,74.20%,0.08%,14.86%,70,0.38
75,001285.SZ,瑞立科密,汽车配件,主板,50.40,confirmation_needed,observe,candidate,67.18%,60.60%,11.80%,13,57.11%,0.03%,6.01%,73,0.43
76,920689.BJ,克莱特,专用机械,北交所,28.88,confirmation_needed,observe,candidate,66.99%,87.65%,4.40%,19,61.21%,1.10%,16.83%,90,0.38
77,600731.SH,湖南海利,农药化肥,主板,6.99,confirmation_needed,observe,candidate,66.53%,58.05%,26.67%,19,74.50%,0.10%,3.25%,84,0.42
78,603899.SH,晨光股份,文教休闲,主板,25.27,confirmation_needed,observe,candidate,66.45%,49.03%,11.14%,21,68.04%,0.09%,4.28%,68,0.36
79,688213.SH,思特威-W,半导体,科创板,82.60,confirmation_needed,observe,candidate,65.80%,56.12%,29.97%,22,58.16%,0.04%,7.78%,72,0.42
80,301584.SZ,建发致新,医药商业,创业板,27.12,confirmation_needed,observe,candidate,65.11%,29.78%,36.73%,30,60.91%,0.04%,8.90%,76,0.36
81,300668.SZ,杰恩设计,装修装饰,创业板,37.35,confirmation_needed,observe,candidate,64.49%,51.87%,43.98%,100,60.52%,1.55%,6.83%,72,0.44
82,002142.SZ,宁波银行,银行,主板,30.45,confirmation_needed,observe,candidate,64.18%,52.52%,14.54%,26,58.37%,0.14%,10.16%,66,0.39
83,300662.SZ,科锐国际,文教休闲,创业板,23.40,confirmation_needed,observe,candidate,63.97%,84.25%,4.35%,11,54.87%,0.14%,6.36%,71,0.38
84,300165.SZ,天瑞仪器,电器仪表,创业板,5.02,confirmation_needed,observe,candidate,63.89%,55.45%,10.90%,13,60.76%,0.17%,1.81%,83,0.37
85,603863.SH,松炀资源,造纸,主板,16.47,confirmation_needed,observe,candidate,63.88%,65.21%,12.14%,0,60.52%,0.44%,1.27%,87,0.36
86,688638.SH,誉辰智能,专用机械,科创板,39.54,confirmation_needed,observe,candidate,63.69%,68.45%,23.57%,47,56.85%,0.30%,12.43%,66,0.39
87,688789.SH,宏华数科,专用机械,科创板,65.41,confirmation_needed,observe,candidate,63.62%,66.35%,6.82%,0,64.79%,0.06%,12.20%,92,0.43
88,301380.SZ,挖金客,软件服务,创业板,32.61,confirmation_needed,observe,candidate,63.23%,31.35%,16.55%,17,73.10%,0.08%,7.24%,72,0.37
89,301203.SZ,国泰环保,环境保护,创业板,39.17,confirmation_needed,observe,candidate,63.10%,80.49%,6.09%,13,59.44%,0.03%,6.10%,76,0.52
90,300923.SZ,研奥股份,运输设备,创业板,27.71,confirmation_needed,observe,candidate,63.02%,75.96%,39.23%,47,63.57%,0.09%,7.54%,62,0.37
91,688266.SH,泽璟制药-U,生物制药,科创板,98.80,confirmation_needed,observe,candidate,62.99%,27.19%,18.43%,91,25.82%,0.13%,5.34%,64,0.50
92,600501.SH,航天晨光,专用机械,主板,22.70,confirmation_needed,observe,candidate,62.93%,74.43%,17.78%,5,61.27%,0.13%,1.85%,77,0.48
93,001230.SZ,劲旅环境,环境保护,主板,25.17,confirmation_needed,first_buy,candidate,62.65%,27.94%,28.28%,41,64.91%,0.12%,7.91%,75,0.37
94,001283.SZ,豪鹏科技,电气设备,主板,69.01,confirmation_needed,observe,candidate,62.42%,88.55%,15.13%,90,78.29%,0.23%,11.82%,67,0.40
95,600815.SH,厦工股份,工程机械,主板,4.00,confirmation_needed,observe,candidate,62.30%,54.10%,25.49%,100,61.46%,0.23%,4.54%,62,0.38
96,601068.SH,中铝国际,建筑工程,主板,5.99,confirmation_needed,first_buy,candidate,62.06%,58.85%,6.17%,37,68.27%,0.13%,3.17%,79,0.37
97,300483.SZ,首华燃气,石油开采,创业板,20.10,confirmation_needed,observe,candidate,62.01%,83.88%,11.69%,49,59.37%,0.19%,12.01%,80,0.44
98,300347.SZ,泰格医药,医疗保健,创业板,53.83,confirmation_needed,observe,candidate,61.91%,25.67%,18.22%,33,55.49%,0.18%,9.91%,70,0.42
99,002256.SZ,兆新股份,新型电力,主板,3.96,confirmation_needed,observe,candidate,61.78%,82.47%,11.92%,78,59.27%,0.09%,2.84%,77,0.30
100,003026.SZ,中晶科技,半导体,主板,35.60,confirmation_needed,first_buy,candidate,61.59%,83.95%,16.81%,60,60.01%,0.06%,9.82%,65,0.21
