排名,股票代码,股票名称,行业,市场板块,收盘价,综合排名分,结论标签,结构分,10日延续概率,突破成功率,10日预期收益,风险分,模型风险
78,002832.SZ,比音勒芬,服饰,主板,17.50,101.66,confirmation_needed,93,60.66%,64.17%,3.56%,52,0.53
79,603098.SH,森特股份,装修装饰,主板,18.00,101.23,high_quality_continuation,100,68.23%,63.33%,4.12%,67,0.59
80,688218.SH,江苏北人,专用机械,科创板,24.02,101.06,defense_first,95,74.06%,72.00%,5.02%,68,0.59
81,603017.SH,中衡设计,建筑工程,主板,15.76,101.05,high_quality_continuation,100,67.05%,61.76%,3.95%,66,0.65
82,001289.SZ,龙源电力,新型电力,主板,17.66,100.69,high_quality_continuation,85,70.69%,83.33%,5.32%,55,0.43
83,601330.SH,绿色动力,环境保护,主板,8.72,100.46,high_quality_continuation,93,80.46%,69.33%,5.40%,73,0.79
84,600777.SH,*ST新潮,石油开采,主板,5.38,100.2,defense_first,97,74.20%,72.00%,5.04%,71,0.60
85,002310.SZ,东方新能,环境保护,主板,3.80,100.09,high_quality_continuation,100,69.09%,63.36%,4.20%,69,0.70
86,001287.SZ,中电港,元器件,主板,24.73,99.97,defense_first,93,79.97%,70.67%,5.43%,73,0.55
87,002038.SZ,双鹭药业,生物制药,主板,7.27,99.7,high_quality_continuation,100,63.70%,88.00%,5.00%,64,0.38
88,000423.SZ,东阿阿胶,中成药,主板,57.50,99.41,confirmation_needed,97,61.41%,60.03%,3.41%,59,0.54
89,000019.SZ,深粮控股,农业综合,主板,7.94,99.39,confirmation_needed,98,60.39%,69.78%,3.82%,59,0.59
90,003042.SZ,中农联合,农药化肥,主板,19.77,99.14,high_quality_continuation,100,64.14%,75.33%,4.40%,65,0.53
91,000973.SZ,佛塑科技,塑料,主板,19.15,99.13,confirmation_needed,100,63.13%,53.67%,3.23%,64,0.72
92,688799.SH,华纳药厂,化学制药,科创板,54.71,99.04,confirmation_needed,100,59.04%,60.37%,3.24%,60,0.56
93,002199.SZ,*ST东晶,元器件,主板,8.52,98.95,high_quality_continuation,93,64.95%,77.00%,4.55%,59,0.50
94,603701.SH,德宏股份,汽车配件,主板,23.50,98.93,confirmation_needed,99,55.93%,49.00%,2.42%,56,0.71
95,600666.SH,奥瑞德,元器件,主板,6.24,98.86,high_quality_continuation,100,71.86%,70.04%,4.75%,73,0.62
96,688513.SH,苑东生物,化学制药,科创板,66.35,98.71,confirmation_needed,100,58.71%,59.79%,3.19%,60,0.59
97,002256.SZ,兆新股份,新型电力,主板,4.21,98.69,high_quality_continuation,97,74.69%,74.42%,5.20%,73,0.65
98,603817.SH,海峡环保,环境保护,主板,7.73,98.62,high_quality_continuation,84,78.62%,75.00%,5.54%,64,0.59
99,002713.SZ,*ST东易,装修装饰,主板,12.36,98.08,defense_first,100,59.08%,45.73%,2.51%,61,0.64
100,301358.SZ,湖南裕能,电气设备,创业板,80.13,97.87,confirmation_needed,98,61.87%,47.67%,2.83%,62,0.64
